timestamp_utc,action,old_path,new_path
2026-05-02T21:03:53Z,removed_pycache,submission+artifacts/smolvlm_lora_all_b8ga2_index_r8_bias_b16/__pycache__,.
2026-05-02T21:03:53Z,removed_pycache,submission+artifacts/smolvlm_lora_all_b8ga2_index_r8_d0/__pycache__,.
2026-05-02T21:03:53Z,removed_pycache,submission+artifacts/smolvlm_lora_all_b8ga2_index_r8_joint/__pycache__,.
2026-05-02T21:03:53Z,removed_pycache,submission+artifacts/smolvlm_lora_all_b8ga2_index_r8_split/__pycache__,.
2026-05-02T21:03:53Z,removed_pycache,submission+artifacts/submission_r8/__pycache__,.
2026-05-02T21:03:53Z,moved,submission+artifacts/ensemble_scores_top2_r8_d0,submission+artifacts/legacy/ensembles/ensemble_scores_top2_r8_d0
2026-05-02T21:03:53Z,moved,submission+artifacts/ensemble_scores_top3,submission+artifacts/legacy/ensembles/ensemble_scores_top3
2026-05-02T21:03:53Z,moved,submission+artifacts/ensemble_scores_top3_center,submission+artifacts/legacy/ensembles/ensemble_scores_top3_center
2026-05-02T21:03:53Z,moved,submission+artifacts/ensemble_scores_top3_fp32_w025,submission+artifacts/legacy/ensembles/ensemble_scores_top3_fp32_w025
2026-05-02T21:03:53Z,moved,submission+artifacts/ensemble_scores_top3_fp32_w05,submission+artifacts/legacy/ensembles/ensemble_scores_top3_fp32_w05
2026-05-02T21:03:53Z,moved,submission+artifacts/ensemble_scores_top3_w221,submission+artifacts/legacy/ensembles/ensemble_scores_top3_w221
2026-05-02T21:03:53Z,moved,submission+artifacts/ensemble_scores_top3_w332,submission+artifacts/legacy/ensembles/ensemble_scores_top3_w332
2026-05-02T21:03:53Z,moved,submission+artifacts/ensemble_scores_top3_zscore,submission+artifacts/legacy/ensembles/ensemble_scores_top3_zscore
2026-05-02T21:03:53Z,moved,submission+artifacts/ensemble_vote_top3,submission+artifacts/legacy/ensembles/ensemble_vote_top3
2026-05-02T21:03:53Z,moved,submission+artifacts/ensemble_vote_top3_fp32_equal,submission+artifacts/legacy/ensembles/ensemble_vote_top3_fp32_equal
2026-05-02T21:03:53Z,moved,submission+artifacts/ensemble_vote_top3_fp32_w05,submission+artifacts/legacy/ensembles/ensemble_vote_top3_fp32_w05
2026-05-02T21:03:53Z,moved,submission+artifacts/ensemble_vote_top3_fp32_w2221,submission+artifacts/legacy/ensembles/ensemble_vote_top3_fp32_w2221
2026-05-02T21:03:53Z,moved,submission+artifacts/ensemble_vote_top5,submission+artifacts/legacy/ensembles/ensemble_vote_top5
2026-05-02T21:03:53Z,moved,submission+artifacts/ensemble_vote_weighted_top4,submission+artifacts/legacy/ensembles/ensemble_vote_weighted_top4
2026-05-02T21:03:53Z,moved,submission+artifacts/ensemble_vote_weighted_top5,submission+artifacts/legacy/ensembles/ensemble_vote_weighted_top5
2026-05-02T21:03:53Z,moved,submission+artifacts/fp32_infer_r8,submission+artifacts/legacy/experiment_snapshots/fp32_infer_r8
2026-05-02T21:03:53Z,moved,submission+artifacts/fp32_train_r8,submission+artifacts/legacy/experiment_snapshots/fp32_train_r8
2026-05-02T21:03:53Z,moved,submission+artifacts/public_probe_r8_plus_2,submission+artifacts/legacy/probes/public_probe_r8_plus_2
2026-05-02T21:03:53Z,moved,submission+artifacts/public_probe_r8_plus_2_00128,submission+artifacts/legacy/probes/public_probe_r8_plus_2_00128
2026-05-02T21:03:53Z,moved,submission+artifacts/public_probe_r8_plus_2_00425,submission+artifacts/legacy/probes/public_probe_r8_plus_2_00425
2026-05-02T21:03:53Z,moved,submission+artifacts/public_probe_r8_plus_2_00705,submission+artifacts/legacy/probes/public_probe_r8_plus_2_00705
2026-05-02T21:03:53Z,moved,submission+artifacts/public_probe_r8_plus_2_00712,submission+artifacts/legacy/probes/public_probe_r8_plus_2_00712
2026-05-02T21:03:53Z,moved,submission+artifacts/public_probe_r8_plus_2_00712_00705,submission+artifacts/legacy/probes/public_probe_r8_plus_2_00712_00705
2026-05-02T21:03:53Z,moved,submission+artifacts/public_probe_r8_plus_4,submission+artifacts/legacy/probes/public_probe_r8_plus_4
2026-05-02T21:03:53Z,moved,submission+artifacts/public_probe_r8_plus_6,submission+artifacts/legacy/probes/public_probe_r8_plus_6
2026-05-02T21:03:53Z,moved,submission+artifacts/public_probe_r8_plus_8,submission+artifacts/legacy/probes/public_probe_r8_plus_8
2026-05-02T21:03:53Z,moved,submission+artifacts/score_runs,submission+artifacts/legacy/score_details/score_runs
2026-05-02T21:03:53Z,moved,submission+artifacts/scores_connector_r8.csv,submission+artifacts/legacy/score_details/root_csvs/scores_connector_r8.csv
2026-05-02T21:03:53Z,moved,submission+artifacts/scores_r8_t07.csv,submission+artifacts/legacy/score_details/root_csvs/scores_r8_t07.csv
2026-05-02T21:03:53Z,moved,submission+artifacts/smolvlm_lora_all_b4ga4_index,submission+artifacts/legacy/experiment_snapshots/smolvlm_lora_all_b4ga4_index
2026-05-02T21:03:53Z,moved,submission+artifacts/smolvlm_lora_all_b8ga2_index,submission+artifacts/legacy/experiment_snapshots/smolvlm_lora_all_b8ga2_index
2026-05-02T21:03:53Z,moved,submission+artifacts/smolvlm_lora_all_b8ga2_index_e4,submission+artifacts/legacy/experiment_snapshots/smolvlm_lora_all_b8ga2_index_e4
2026-05-02T21:03:53Z,moved,submission+artifacts/smolvlm_lora_all_b8ga2_index_r8,submission+artifacts/legacy/experiment_snapshots/smolvlm_lora_all_b8ga2_index_r8
2026-05-02T21:03:53Z,moved,submission+artifacts/smolvlm_lora_all_b8ga2_index_r8_bias_b16,submission+artifacts/legacy/experiment_snapshots/smolvlm_lora_all_b8ga2_index_r8_bias_b16
2026-05-02T21:03:53Z,moved,submission+artifacts/smolvlm_lora_all_b8ga2_index_r8_d0,submission+artifacts/legacy/experiment_snapshots/smolvlm_lora_all_b8ga2_index_r8_d0
2026-05-02T21:03:53Z,moved,submission+artifacts/smolvlm_lora_all_b8ga2_index_r8_joint,submission+artifacts/legacy/experiment_snapshots/smolvlm_lora_all_b8ga2_index_r8_joint
2026-05-02T21:03:53Z,moved,submission+artifacts/smolvlm_lora_all_b8ga2_index_r8_seed7,submission+artifacts/legacy/experiment_snapshots/smolvlm_lora_all_b8ga2_index_r8_seed7
2026-05-02T21:03:53Z,moved,submission+artifacts/smolvlm_lora_all_b8ga2_index_r8_split,submission+artifacts/legacy/experiment_snapshots/smolvlm_lora_all_b8ga2_index_r8_split
2026-05-02T21:03:53Z,moved,submission+artifacts/smolvlm_lora_all_b8ga2_index_r9,submission+artifacts/legacy/experiment_snapshots/smolvlm_lora_all_b8ga2_index_r9
2026-05-02T21:03:53Z,moved,submission+artifacts/smolvlm_lora_all_b8ga2_index_seed7,submission+artifacts/legacy/experiment_snapshots/smolvlm_lora_all_b8ga2_index_seed7
2026-05-02T21:03:53Z,moved,submission+artifacts/smolvlm_lora_b16,submission+artifacts/legacy/experiment_snapshots/smolvlm_lora_b16
2026-05-02T21:03:53Z,moved,submission+artifacts/smolvlm_lora_final_all,submission+artifacts/legacy/experiment_snapshots/smolvlm_lora_final_all
2026-05-02T21:03:53Z,moved,submission+artifacts/submission_best_known.csv,submission+artifacts/legacy/kaggle_submissions/submission_best_known.csv
2026-05-02T21:03:53Z,moved,submission+artifacts/submission_connector_r8.csv,submission+artifacts/legacy/kaggle_submissions/submission_connector_r8.csv
2026-05-02T21:03:53Z,moved,submission+artifacts/submission_ens3_new_zscore.csv,submission+artifacts/legacy/ensembles/root_submissions/submission_ens3_new_zscore.csv
2026-05-02T21:03:53Z,moved,submission+artifacts/submission_ens4_center.csv,submission+artifacts/legacy/ensembles/root_submissions/submission_ens4_center.csv
2026-05-02T21:03:53Z,moved,submission+artifacts/submission_ens4_lin_w2.csv,submission+artifacts/legacy/ensembles/root_submissions/submission_ens4_lin_w2.csv
2026-05-02T21:03:53Z,moved,submission+artifacts/submission_ens4_lin_w3.csv,submission+artifacts/legacy/ensembles/root_submissions/submission_ens4_lin_w3.csv
2026-05-02T21:03:53Z,moved,submission+artifacts/submission_ens4_lin_zscore.csv,submission+artifacts/legacy/ensembles/root_submissions/submission_ens4_lin_zscore.csv
2026-05-02T21:03:53Z,moved,submission+artifacts/submission_ens4_weighted.csv,submission+artifacts/legacy/ensembles/root_submissions/submission_ens4_weighted.csv
2026-05-02T21:03:53Z,moved,submission+artifacts/submission_ens4_zscore.csv,submission+artifacts/legacy/ensembles/root_submissions/submission_ens4_zscore.csv
2026-05-02T21:03:53Z,moved,submission+artifacts/submission_ens7_all.csv,submission+artifacts/legacy/ensembles/root_submissions/submission_ens7_all.csv
2026-05-02T21:03:53Z,moved,submission+artifacts/submission_ens7_w3.csv,submission+artifacts/legacy/ensembles/root_submissions/submission_ens7_w3.csv
2026-05-02T21:03:53Z,moved,submission+artifacts/submission_ensemble_connector1_r8.csv,submission+artifacts/legacy/ensembles/root_submissions/submission_ensemble_connector1_r8.csv
2026-05-02T21:03:53Z,moved,submission+artifacts/submission_ensemble_connector2_r8.csv,submission+artifacts/legacy/ensembles/root_submissions/submission_ensemble_connector2_r8.csv
2026-05-02T21:03:53Z,moved,submission+artifacts/submission_ensemble_connector4_r8_r9.csv,submission+artifacts/legacy/ensembles/root_submissions/submission_ensemble_connector4_r8_r9.csv
2026-05-02T21:03:53Z,moved,submission+artifacts/submission_r8,submission+artifacts/legacy/experiment_snapshots/submission_r8
2026-05-02T21:03:53Z,moved,submission+artifacts/submission_r8_lin_s123.csv,submission+artifacts/legacy/kaggle_submissions/submission_r8_lin_s123.csv
2026-05-02T21:03:53Z,moved,submission+artifacts/submission_r8_lin_s2024.csv,submission+artifacts/legacy/kaggle_submissions/submission_r8_lin_s2024.csv
2026-05-02T21:03:53Z,moved,submission+artifacts/submission_r8_lin_s7.csv,submission+artifacts/legacy/kaggle_submissions/submission_r8_lin_s7.csv
2026-05-02T21:03:53Z,moved,submission+artifacts/submission_r8_s123.csv,submission+artifacts/legacy/kaggle_submissions/submission_r8_s123.csv
2026-05-02T21:03:53Z,moved,submission+artifacts/submission_r8_s2024.csv,submission+artifacts/legacy/kaggle_submissions/submission_r8_s2024.csv
2026-05-02T21:03:53Z,moved,submission+artifacts/submission_r8_s7.csv,submission+artifacts/legacy/kaggle_submissions/submission_r8_s7.csv
2026-05-02T21:03:53Z,moved,submission+artifacts/submission_r8_t07.csv,submission+artifacts/legacy/kaggle_submissions/submission_r8_t07.csv
2026-05-08T17:58:05Z,moved,submission+artifacts/sample_submission.csv,submission+artifacts/reference/sample_submission.csv
2026-05-08T17:58:05Z,moved,submission+artifacts/kaggle_scores.txt,submission+artifacts/reference/kaggle_scores_raw.txt
2026-05-08T17:58:05Z,created,.,submission+artifacts/final/README.md
2026-05-08T17:58:05Z,created,.,submission+artifacts/reference/README.md
