submission_file,status,submitted_relative,public_score
r8_letterlogit_tta_s42.csv,Complete,1d ago,0.76056
r8_choice_split1024_s42_b2.csv,Complete,5d ago,0.76257
submission_ens4_center.csv,Complete,6d ago,0.79678
submission_ens4_weighted.csv,Complete,6d ago,0.79879
submission_ens4_zscore.csv,Complete,6d ago,0.79275
submission_r8_e4_trainonval.csv,Complete,6d ago,0.80482
submission_r8_e7_notrainonval.csv,Complete,6d ago,0.79275
submission_r8_e5.csv,Complete,6d ago,0.80885
submission_connector_r8.csv,Complete,8d ago,0.78672
submission_public_probe_r8_plus_2_00425.csv,Complete,8d ago,0.82494
submission_public_probe_r8_plus_2_00128.csv,Complete,8d ago,0.82494
submission_public_probe_r8_plus_4.csv,Complete,9d ago,0.82494
submission_public_probe_r8_plus_2.csv,Complete,9d ago,0.82494
submission_fp32_train_r8_infer_fp32.csv,Complete,9d ago,0.79074
submission_ensemble_scores_top3_zscore.csv,Complete,9d ago,0.82092
submission_ensemble_vote_weighted_top5.csv,Complete,9d ago,0.81891
submission_ensemble_vote_top3.csv,Complete,10d ago,0.82293
submission_all_b8ga2_index_r8_split.csv,Complete,10d ago,0.81287
submission_all_b8ga2_index_r8_joint.csv,Complete,10d ago,0.77867
submission_all_b8ga2_index_r8_d0.csv,Complete,10d ago,0.82092
submission_all_b8ga2_index_r8_bias_b16.csv,Complete,10d ago,0.81690
submission_all_b8ga2_index_r8_seed7.csv,Complete,11d ago,0.81488
submission_all_b8ga2_index_r9.csv,Complete,11d ago,0.81891
submission_all_b4ga4_index.csv,Complete,11d ago,0.78269
submission_all_b8ga2_index_r8.csv,Complete,11d ago,0.82092
submission_all_b8ga2_index_e4.csv,Complete,11d ago,0.79275
submission_all_b8ga2_index_seed7.csv,Complete,11d ago,0.78873
submission_all_b8ga2_index_ckpt520.csv,Complete,11d ago,0.76659
submission_all_b8ga2_index.csv,Complete,11d ago,0.79476
submission-lora_final_all.csv,Complete,11d ago,0.75653
submission-smolvlm_lora_b16.csv,Complete,12d ago,0.78672
